year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,18133,16,0.0949
2020,1,11,18135,24,0.212
2020,1,11,18137,13,0.0907
2020,1,11,18141,271,0.199
2020,1,11,18145,16,0.0687
2020,1,11,18147,28,0.258
2020,1,11,18149,28,0.281
2020,1,11,18151,21,0.101
2020,1,11,18153,18,0.213
2020,1,11,18157,87,0.0877
2020,1,11,18159,14,0.15
2020,1,11,18163,139,0.146
2020,1,11,18165,10,0.142
2020,1,11,18167,110,0.227
2020,1,11,18169,28,0.185
2020,1,11,18173,40,0.121
2020,1,11,18175,28,0.203
2020,1,11,18177,41,0.133
2020,1,11,18179,13,0.0896
2020,1,11,18181,16,0.118
2020,1,11,18183,18,0.101
2020,1,11,19001,8,0.187
2020,1,11,19003,4,0.181
2020,1,11,19005,30,0.401
2020,1,11,19007,18,0.298
2020,1,11,19009,5,0.158
2020,1,11,19011,40,0.291
2020,1,11,19013,271,0.386
2020,1,11,19015,27,0.178
2020,1,11,19017,62,0.44
2020,1,11,19019,47,0.409
2020,1,11,19021,39,0.327
2020,1,11,19023,29,0.362
2020,1,11,19025,11,0.255
2020,1,11,19027,12,0.108
2020,1,11,19029,16,0.229
2020,1,11,19031,39,0.354
2020,1,11,19033,52,0.217
2020,1,11,19035,20,0.32
2020,1,11,19037,20,0.303
2020,1,11,19039,14,0.283
2020,1,11,19041,37,0.429
2020,1,11,19043,62,0.602
2020,1,11,19045,76,0.328
2020,1,11,19047,20,0.242
2020,1,11,19049,73,0.145
2020,1,11,19051,9,0.211
2020,1,11,19053,5,0.112
2020,1,11,19055,26,0.243
2020,1,11,19057,110,0.562
2020,1,11,19059,41,0.401
2020,1,11,19061,238,0.418
2020,1,11,19063,11,0.206
2020,1,11,19065,44,0.409
2020,1,11,19067,17,0.189
2020,1,11,19069,19,0.328
2020,1,11,19071,3,0.0804
2020,1,11,19073,4,0.0727
2020,1,11,19075,14,0.211
2020,1,11,19077,6,0.105
2020,1,11,19079,7,0.0998
2020,1,11,19081,9,0.15
2020,1,11,19083,17,0.207
2020,1,11,19085,16,0.214
2020,1,11,19087,37,0.373
2020,1,11,19089,16,0.304
2020,1,11,19091,18,0.347
2020,1,11,19093,10,0.239
2020,1,11,19095,25,0.234
2020,1,11,19097,58,0.519
2020,1,11,19099,43,0.214
2020,1,11,19101,16,0.156
2020,1,11,19103,139,0.158
2020,1,11,19105,39,0.359
2020,1,11,19107,12,0.226
2020,1,11,19109,18,0.211
2020,1,11,19111,65,0.398
2020,1,11,19113,349,0.281
2020,1,11,19115,22,0.359
2020,1,11,19117,6,0.128
2020,1,11,19119,2,0.0279
2020,1,11,19121,29,0.332
2020,1,11,19123,25,0.208
2020,1,11,19125,36,0.193
2020,1,11,19127,78,0.428
2020,1,11,19129,10,0.133
2020,1,11,19131,8,0.115
2020,1,11,19133,10,0.222
2020,1,11,19135,13,0.319
2020,1,11,19137,19,0.374
2020,1,11,19139,45,0.203
2020,1,11,19141,21,0.251
2020,1,11,19143,3,0.0838
2020,1,11,19145,13,0.201
2020,1,11,19147,8,0.165
2020,1,11,19149,34,0.226
2020,1,11,19151,6,0.131
2020,1,11,19153,694,0.254
2020,1,11,19155,60,0.122
2020,1,11,19157,24,0.228
2020,1,11,19159,5,0.199
2020,1,11,19161,16,0.298
2020,1,11,19163,268,0.295
2020,1,11,19165,12,0.176
2020,1,11,19167,39,0.183
2020,1,11,19169,64,0.108
2020,1,11,19171,19,0.198
2020,1,11,19173,2,0.0616
2020,1,11,19175,24,0.376
2020,1,11,19177,15,0.404
2020,1,11,19179,39,0.216
2020,1,11,19181,79,0.274
2020,1,11,19183,40,0.328
2020,1,11,19185,3,0.105
2020,1,11,19187,61,0.308
2020,1,11,19189,8,0.154
2020,1,11,19191,32,0.264
2020,1,11,19193,110,0.195
2020,1,11,19195,14,0.328
2020,1,11,19197,11,0.156
2020,1,11,21001,16.2,0.227
2020,1,11,21003,13.9,0.154
2020,1,11,21005,17.8,0.147
2020,1,11,21007,13.3,0.377
2020,1,11,21009,50.9,0.27
2020,1,11,21011,25.9,0.56
2020,1,11,21013,19.1,0.226
2020,1,11,21015,80.7,0.113
2020,1,11,21017,14.6,0.149
2020,1,11,21019,49.9,0.279
2020,1,11,21021,34,0.27
2020,1,11,21023,12,0.312
2020,1,11,21025,19.8,0.566
2020,1,11,21027,26.9,0.338
2020,1,11,21029,85.5,0.199
2020,1,11,21031,13.3,0.259
2020,1,11,21033,19.1,0.349
2020,1,11,21035,87.5,0.465
2020,1,11,21037,54.4,0.107
2020,1,11,21039,3.24,0.145
2020,1,11,21041,11.3,0.213
2020,1,11,21043,40.2,0.411
2020,1,11,21045,18.1,0.271
2020,1,11,21047,91.7,0.366
2020,1,11,21049,45.4,0.263
2020,1,11,21051,18.1,0.349
2020,1,11,21053,7.13,0.178
2020,1,11,21055,10.7,0.281
2020,1,11,21057,10.4,0.326
2020,1,11,21059,109,0.23
2020,1,11,21061,14.9,0.308
2020,1,11,21063,9.72,0.476
2020,1,11,21065,8.75,0.162
2020,1,11,21067,236,0.134
2020,1,11,21069,18.5,0.298
2020,1,11,21071,36.3,0.328
2020,1,11,21073,205,0.81
2020,1,11,21075,6.16,0.299
2020,1,11,21077,8.75,0.213
2020,1,11,21079,16.8,0.219
2020,1,11,21081,25.9,0.22
2020,1,11,21083,44.1,0.278
2020,1,11,21085,83.9,0.761
2020,1,11,21087,11.3,0.221
2020,1,11,21089,30.8,0.229
2020,1,11,21091,7.78,0.195
2020,1,11,21093,410,0.831
2020,1,11,21095,37.3,0.555
2020,1,11,21097,18.1,0.205
2020,1,11,21099,17.2,0.216
2020,1,11,21101,31.8,0.144
2020,1,11,21103,15.6,0.188
2020,1,11,21105,4.54,0.255
2020,1,11,21107,47.6,0.257
2020,1,11,21109,14.9,0.361
2020,1,11,21111,846,0.21
2020,1,11,21113,41.8,0.157
2020,1,11,21115,29.5,0.435
2020,1,11,21117,103,0.117
2020,1,11,21119,9.72,0.216
2020,1,11,21121,17.5,0.176
2020,1,11,21123,14.6,0.243
2020,1,11,21125,48.6,0.197
2020,1,11,21127,16.5,0.318
2020,1,11,21129,6.48,0.314
2020,1,11,21131,12.6,0.467
2020,1,11,21133,24.3,0.384
2020,1,11,21135,21.1,0.453
2020,1,11,21137,37.3,0.399
2020,1,11,21139,15.6,0.424
2020,1,11,21141,18.8,0.149
2020,1,11,21143,7.13,0.229
2020,1,11,21145,90.1,0.308
2020,1,11,21147,12.3,0.262
2020,1,11,21149,12,0.283
2020,1,11,21151,71.9,0.151
2020,1,11,21153,41.2,1.31
2020,1,11,21155,25.6,0.263
2020,1,11,21157,62.5,0.413
2020,1,11,21159,15.9,0.573
2020,1,11,21161,15.9,0.223
2020,1,11,21163,25.9,0.21
2020,1,11,21165,16.8,0.724
2020,1,11,21167,22.7,0.225
2020,1,11,21169,21.1,0.513
2020,1,11,21171,11.3,0.241
2020,1,11,21173,36,0.307
2020,1,11,21175,15.2,0.332
2020,1,11,21177,49.9,0.473
2020,1,11,21179,59.9,0.258
2020,1,11,21181,6.8,0.207
2020,1,11,21183,46,0.468
2020,1,11,21185,30.1,0.09
2020,1,11,21187,9.4,0.183
2020,1,11,21189,2.92,0.257
2020,1,11,21191,11.7,0.166
2020,1,11,21193,30.8,0.371
2020,1,11,21195,64.8,0.324
2020,1,11,21197,17.2,0.34
2020,1,11,21199,60.3,0.225
2020,1,11,21201,1.3,0.158
2020,1,11,21203,16.8,0.251
2020,1,11,21205,25.6,0.245
2020,1,11,21207,13.6,0.218
2020,1,11,21209,41.5,0.142
2020,1,11,21211,29.5,0.115
2020,1,11,21213,16.8,0.188
2020,1,11,21215,13.9,0.136
2020,1,11,21217,30.8,0.241
2020,1,11,21219,7.45,0.137
2020,1,11,21221,26.9,0.446
2020,1,11,21223,8.42,0.216
2020,1,11,21225,11.7,0.19
2020,1,11,21227,140,0.214
2020,1,11,21229,13.3,0.212
2020,1,11,21231,19.4,0.26
2020,1,11,21233,13.3,0.229
2020,1,11,21235,31.1,0.226
2020,1,11,21237,13,0.659
2020,1,11,21239,18.8,0.126
2020,1,11,29001,6,0.058
2020,1,11,29003,6,0.0614
2020,1,11,29005,0,0
2020,1,11,29007,20,0.187
2020,1,11,29009,34,0.218
