FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000"
13093,656.6,80.1753,0
13095,1116.8,125.5634,2.2
13097,584.2,116.914,1.4
13099,712.4,57.1779,9.8
13101,325,33.6906,0
13103,394,72.519,3.2
13105,669.5,101.3184,5.2
13107,548.4,101.8485,4.4
13109,671.6,66.669,9.3
13111,670.2,63.3048,3.9
13113,223.9,90.9531,0.9
13115,893.5,113.9743,4.1
13117,400.7,66.3091,0.4
13119,660.2,109.718,8.7
13121,459.4,128.4593,1.7
13123,675,84.1084,3.2
13125,634.4,49.5911,0
13127,522.2,112.719,2.3
13129,565.1,119.1569,1.7
13131,699,53.7078,4
13133,768.4,100.4264,11.3
13135,580.8,97.4781,0.6
13137,1037.7,75.3025,2.2
13139,1165.5,77.7857,0.5
13141,1257.8,108.7262,0
13143,250.6,101.1607,3.4
13145,449.6,81.8983,0
13147,440.6,70.3978,3.8
13149,378.8,90.0563,0
13151,260.2,122.1787,0.9
13153,474.7,83.3967,1.3
13155,861.9,72.4305,10.6
13157,717.1,86.4211,1.4
13159,434.5,73.3934,7.1
13161,625.5,63.5614,6.7
13163,991.6,100.0654,6.5
13165,955.9,85.2348,11.5
13167,999.2,66.4305,0
13169,562.6,54.8915,0
13171,626.3,88.7637,0
13173,261.1,66.7485,9.7
13175,739.6,103.9097,4.2
13177,618.2,144.7,0
13179,354.5,93.9714,3.3
13181,657,72.6457,0
13183,247.4,52.9528,0
13185,322.4,116.5457,2.6
13187,858.7,72.8209,3
13189,733.8,112.8002,4.6
13191,397.5,76.0914,0
13193,616.3,120.712,7.6
13195,526.1,93.9524,0
13197,467,76.519,0
13199,645.5,124.013,14.2
13201,703.5,53.6938,17.6
13205,1031.9,65.9551,4.5
13207,694,64.8586,3.6
13209,467.7,111.5949,0
13211,445.6,78.8937,10.6
13213,608.7,168.7543,2.5
13215,590.7,133.2169,3.6
13217,589.7,103.9636,0.9
13219,328.5,63.7945,0
13221,498.2,60.0401,0
13223,246.3,72.3397,1.2
13225,795,112.5513,7.3
13227,647.3,72.5586,3.1
13229,686,66.9652,0
13231,375.7,74.8674,0
13233,890,108.7824,2.4
13235,487.8,64.5591,9
13237,742.8,98.9747,4.6
13239,482.7,34.74851,0
13241,889.3,71.0104,11.9
13243,1185.4,158.4762,14.6
13245,658.9,113.3162,5.5
13247,952.6,115.8874,1.1
13249,401.1,46.9548,0
13251,516.6,146.951,7.2
13253,793.7,80.0221,12
13255,658.1,112.6517,1.5
13257,971.8,100.1957,3.8
13259,2016.5,54.7229,16.1
13261,884.5,91.7743,3.4
13263,653.7,79.0478,0
13265,497.5,86.5748,0
13267,472.6,49.3881,3.9
13269,895.6,89.955,12.4
13271,434.6,74.6879,0
13273,1289,90.1188,0
13275,780.7,96.1653,4.5
13277,1020.4,92.1182,2.5
13279,643.4,94.4124,3.7
13281,1071.5,89.6767,8.4
13283,763.7,79.0036,0
13285,698.2,127.8741,1.4
13287,1087,110.1118,0
13289,1221.3,79.8859,0
13291,866.6,76.6392,4.2
13293,671.4,120.2289,3.8
13295,403.4,68.4052,0
13297,528.3,91.8669,2.1
13299,980.9,79.3035,2.8
13301,895.1,89.4629,0
13303,544.5,83.2954,4.9
13305,902.4,88.504,3.4
13307,574.5,51.4304,0
13309,444.2,78.8605,12.7
13311,977.6,66.7496,0
13313,715.9,179.471,1
13315,817.1,65.5713,0
13317,729,68.8028,10.1
13319,1328,68.8391,0
13321,857.2,62.0647,4.9
15001,NaN,60.583,3
15003,NaN,59.906,1.8
15005,NaN,None,0
15007,NaN,83.286,4.2
15009,NaN,83.699,2.4
16001,NaN,25.0864,2.3
16003,NaN,16.74,0
16005,NaN,17.4403,1.1
16007,NaN,6.313,16.5
16009,NaN,24.463,10.8
16011,NaN,12.5124,6.5
16013,NaN,41.9349,4.4
16015,NaN,18.067,0
16017,NaN,28.1894,2.2
16019,NaN,17.6395,1.7
16021,NaN,25.619,8.4
16023,NaN,37.006,38.3
16025,NaN,2.58,0
16027,NaN,15.9707,0.9
16029,NaN,16.03,14.2
16031,NaN,23.8258,4.2
16033,NaN,None,0
16035,NaN,28.923,22.8
16037,NaN,11.89,0
16039,NaN,11.1356,3.7
16041,NaN,4.558,7.3
16043,NaN,7.4605,0
16045,NaN,9.7967,5.7
16047,NaN,7.2613,6.6
16049,NaN,18.9318,12.1
16051,NaN,7.5843,0
16053,NaN,15.1698,4.2
16055,NaN,25.6996,2.5
16057,NaN,15.5746,2.5
16059,NaN,19.962,12.6
16061,NaN,18.314,0
16063,NaN,7.437,0
16065,NaN,8.8262,2.5
16067,NaN,13.9087,4.8
16069,NaN,20.8988,2.5
16071,NaN,2.627,22.3
16073,NaN,8.741,0
16075,NaN,9.1574,0
16077,NaN,10.073,12.9
16079,NaN,37.855,7.8
16081,NaN,15.1727,8.6
16083,NaN,22.0769,2.3
16085,NaN,35.862,18.1
16087,NaN,13.809,9.8
17001,NaN,28.8193,1.5
17003,NaN,25.3094,0
17005,NaN,27.5852,6
