year,month,day_endofweek,countyfips,initclaims_rate_regular
2020,1,11,13025,0.23
2020,1,11,13027,0.583
2020,1,11,13029,0.199
2020,1,11,13031,0.696
2020,1,11,13033,1.7
2020,1,11,13035,0.316
2020,1,11,13037,0.836
2020,1,11,13039,0.106
2020,1,11,13043,0.575
2020,1,11,13045,0.405
2020,1,11,13047,0.448
2020,1,11,13049,0.226
2020,1,11,13051,0.211
2020,1,11,13053,0.123
2020,1,11,13055,0.3
2020,1,11,13057,0.165
2020,1,11,13059,0.212
2020,1,11,13061,0.614
2020,1,11,13063,0.495
2020,1,11,13065,0.315
2020,1,11,13067,0.187
2020,1,11,13069,1.63
2020,1,11,13071,0.264
2020,1,11,13073,0.214
2020,1,11,13075,0.344
2020,1,11,13077,0.476
2020,1,11,13079,0.526
2020,1,11,13081,0.958
2020,1,11,13083,0.173
2020,1,11,13085,0.14
2020,1,11,13087,0.417
2020,1,11,13089,0.247
2020,1,11,13091,0.548
2020,1,11,13093,0.92
2020,1,11,13095,0.455
2020,1,11,13097,0.291
2020,1,11,13099,0.359
2020,1,11,13101,0.129
2020,1,11,13103,0.192
2020,1,11,13105,2.62
2020,1,11,13107,1.46
2020,1,11,13109,0.424
2020,1,11,13111,0.316
2020,1,11,13113,0.183
2020,1,11,13115,1.35
2020,1,11,13117,0.0941
2020,1,11,13119,0.741
2020,1,11,13121,0.271
2020,1,11,13123,0.414
2020,1,11,13125,0.386
2020,1,11,13127,0.221
2020,1,11,13129,1.44
2020,1,11,13131,0.183
2020,1,11,13133,0.399
2020,1,11,13135,0.173
2020,1,11,13137,2.13
2020,1,11,13139,0.317
2020,1,11,13141,0.843
2020,1,11,13143,0.219
2020,1,11,13145,0.363
2020,1,11,13147,0.908
2020,1,11,13149,0.786
2020,1,11,13151,0.297
2020,1,11,13153,0.521
2020,1,11,13155,0.974
2020,1,11,13157,0.245
2020,1,11,13159,0.467
2020,1,11,13161,0.503
2020,1,11,13163,1.22
2020,1,11,13165,2.22
2020,1,11,13167,0.487
2020,1,11,13169,0.222
2020,1,11,13171,0.304
2020,1,11,13173,0.262
2020,1,11,13175,0.58
2020,1,11,13177,0.374
2020,1,11,13179,0.209
2020,1,11,13181,0.677
2020,1,11,13183,0.181
2020,1,11,13185,0.396
2020,1,11,13187,0.173
2020,1,11,13189,1.17
2020,1,11,13191,0.167
2020,1,11,13193,1.88
2020,1,11,13195,0.329
2020,1,11,13197,0.535
2020,1,11,13199,0.92
2020,1,11,13201,0.393
2020,1,11,13205,0.331
2020,1,11,13207,0.299
2020,1,11,13209,0.967
2020,1,11,13211,0.282
2020,1,11,13213,3.13
2020,1,11,13215,0.767
2020,1,11,13217,0.321
2020,1,11,13219,0.0805
2020,1,11,13221,0.276
2020,1,11,13223,0.229
2020,1,11,13225,1.4
2020,1,11,13227,0.206
2020,1,11,13229,0.26
2020,1,11,13231,0.298
2020,1,11,13233,1.27
2020,1,11,13235,0.873
2020,1,11,13237,0.408
2020,1,11,13239,0.184
2020,1,11,13241,0.542
2020,1,11,13243,0.816
2020,1,11,13245,0.862
2020,1,11,13247,0.35
2020,1,11,13249,0.379
2020,1,11,13251,1.86
2020,1,11,13253,0.534
2020,1,11,13255,0.652
2020,1,11,13257,0.836
2020,1,11,13259,0.799
2020,1,11,13261,0.952
2020,1,11,13263,0.523
2020,1,11,13265,0.779
2020,1,11,13267,0.308
2020,1,11,13269,1.6
2020,1,11,13271,0.777
2020,1,11,13273,1.3
2020,1,11,13275,0.274
2020,1,11,13277,0.343
2020,1,11,13279,1.14
2020,1,11,13281,0.214
2020,1,11,13283,0.836
2020,1,11,13285,0.558
2020,1,11,13287,0.594
2020,1,11,13289,0.427
2020,1,11,13291,0.21
2020,1,11,13293,0.759
2020,1,11,13295,0.811
2020,1,11,13297,0.211
2020,1,11,13299,0.401
2020,1,11,13301,1.41
2020,1,11,13303,0.399
2020,1,11,13305,0.392
2020,1,11,13307,0.439
2020,1,11,13309,1.04
2020,1,11,13311,0.728
2020,1,11,13313,3.98
2020,1,11,13315,0.62
2020,1,11,13317,0.732
2020,1,11,13319,0.484
2020,1,11,13321,0.386
2020,1,11,15001,0.377
2020,1,11,15003,0.245
2020,1,11,15007,0.268
2020,1,11,15009,0.309
2020,1,11,16001,0.16
2020,1,11,16005,0.0795
2020,1,11,16009,0.268
2020,1,11,16011,0.134
2020,1,11,16013,0.227
2020,1,11,16017,0.309
2020,1,11,16019,0.121
2020,1,11,16021,0.428
2020,1,11,16027,0.154
2020,1,11,16029,0.169
2020,1,11,16031,0.18
2020,1,11,16035,0.482
2020,1,11,16039,0.13
2020,1,11,16041,0.071
2020,1,11,16043,0.191
2020,1,11,16047,0.073
2020,1,11,16049,0.274
2020,1,11,16051,0.0784
2020,1,11,16053,0.205
2020,1,11,16055,0.261
2020,1,11,16057,0.151
2020,1,11,16061,0.425
2020,1,11,16063,0.222
2020,1,11,16065,0.0775
2020,1,11,16067,0.14
2020,1,11,16069,0.218
2020,1,11,16071,0.215
2020,1,11,16073,0.166
2020,1,11,16075,0.12
2020,1,11,16077,0.147
2020,1,11,16079,0.292
2020,1,11,16081,0.106
2020,1,11,16083,0.15
2020,1,11,16085,0.324
2020,1,11,16087,0.13
2020,1,11,17001,0.165
2020,1,11,17003,0.239
2020,1,11,17005,0.268
2020,1,11,17007,1.12
2020,1,11,17009,0.118
2020,1,11,17011,0.296
2020,1,11,17013,0.303
2020,1,11,17015,0.227
2020,1,11,17017,0.24
2020,1,11,17019,0.142
2020,1,11,17021,0.261
2020,1,11,17023,0.198
2020,1,11,17025,0.368
2020,1,11,17027,0.3
2020,1,11,17029,0.126
2020,1,11,17031,0.192
2020,1,11,17033,0.178
2020,1,11,17035,0.245
2020,1,11,17037,0.322
2020,1,11,17039,0.229
2020,1,11,17041,0.159
2020,1,11,17043,0.13
2020,1,11,17045,0.0997
2020,1,11,17047,0.181
2020,1,11,17049,0.186
2020,1,11,17051,0.34
